aamir	170 0 0 0
aardsma	169 0 0 0
aaron	4322 143 41 63
aaronson	170 11 5 1
abad	103 10 0 8
abagnale	203 0 2 0
abalos	143 14 4 31
abashidze	576 0 3 16
abaya	187 7 4 27
abbas	36442 48 204 182
abbot	112 13 19 5
abbott	3230 286 1051 47
abby	15 389 10 13
abdalla	88 2 4 7
abdallah	216 22 3 2
abdellah	539 0 1 18
abdi	1571 9 0 113
abdo	419 10 57 2
abduction	183 21 135 61
abductor	382 46 2 9
abductors	41 19 17 1145
abdul	444 39 3 7
abdulaziz	285 0 0 2
abdulla	80 27 3 2
abdullah	7704 132 111 159
abe	325 13 15 14
abel	461 88 7 10
abell	93 91 11 3
abercrombie	168 77 158 5
aberle	10 56 31 60
abernathy	245 82 5 7
abernethy	89 36 0 5
abhishek	105 0 1 0
abid	161 1 2 5
abigail	4 312 3 7
abilities	126 30 87 1081
abizaid	2609 0 9 54
ablett	97 0 2 1
abner	50 64 19 3
abney	195 35 2 1
abortionist	90 12 0 1
aboud	208 6 1 0
abraham	4128 240 58 34
abrahams	161 28 4 12
abrahamson	76 23 5 4
abram	206 26 0 10
abramoff	236 0 4 2
abramovich	889 1 5 9
abrams	1009 100 40 25
abramson	580 99 14 13
abreu	1765 32 7 2
absentee	30 10 11 193
abu	281 1 3 6
abubakar	100 1 1 4
abuser	256 11 10 18
abyss	116 0 15 3
academic	314 91 28 20
acasuso	143 0 1 3
accent	171 76 114 15
accident	2075 461 1437 345
accommodations	165 4 33 46
accomplice	975 62 9 43
accomplices	40 1 2 393
accomplishments	208 69 111 395
accorsi	569 0 3 26
accountant	1804 184 64 42
accountants	76 3 69 1485
accusations	234 46 215 574
accused	15646 475 226 1816
accuser	487 6569 7 27
accusers	54 6 4 420
ace	4425 95 503 74
acebes	355 0 56 25
acehnese	4 0 3 222
aces	105 25 59 786
acevedo	892 51 4 13
acharya	108 18 5 7
achilles	2400 44 11 2
achmat	194 3 1 4
achraf	101 0 0 0
acker	167 125 2 8
ackerman	683 286 25 19
ackermann	357 4 3 2
acl	123 50 48 10
acosta	601 190 7 24
acquaintance	685 424 16 48
acquaintances	392 78 8 272
acquittal	883 7 57 17
actions	1357 216 1295 2209
activist	4625 838 65 99
acton	63 46 23 4
actor	30463 726 234 335
actress	185 17735 108 100
actresses	4 20 8 763
actuary	424 6 6 6
acuna	68 36 1 5
ada	34 88 85 24
adair	901 91 11 17
adam	2443 77 65 69
adami	88 10 3 0
adamkus	298 0 1 0
adams	11766 1995 283 300
adamson	369 75 18 15
adcock	118 34 2 5
addict	342 88 27 44
addictions	6 5 4 169
addicts	14 0 13 1232
addison	160 48 72 16
addo	116 2 1 2
address	977 174 892 187
addy	92 6 4 2
adel	81 37 9 6
adelman	1075 37 16 9
adelson	166 5 6 1
adelstein	157 0 2 0
aderholt	96 1 3 1
adibi	126 0 1 0
adil	140 4 0 0
adjournment	95 6 10 8
adjuster	44 15 11 161
adjusters	4 1 3 93
adkins	697 139 15 25
adler	756 94 15 20
administrator	10625 1300 430 431
admiral	773 6 114 24
admirals	24 3 8 562
admiration	95 34 64 113
admirer	104 23 14 10
admirers	115 26 14 155
adnan	1230 1 30 12
adolescent	158 8 3 11
adrian	662 43 131 61
adriana	6 302 6 4
adriano	488 2 10 13
ads	415 150 377 8956
adu	3360 3 19 10
adult	511 151 96 292
advani	2377 84 141 68
adventurer	539 13 4 0
adversary	138 8 48 22
advised	102 0 0 0
adviser	9159 269 282 152
advisers	2165 61 175 9287
advisor	687 106 115 72
advisors	126 14 62 864
advocaat	485 0 8 16
advocate	1021 362 224 159
aebischer	855 0 4 13
aeros	30 0 10 602
affeldt	497 7 3 1
affidavit	984 247 146 178
affidavits	27 14 1 1096
affirmed	265 1 9 4
affleck	1271 18 9 56
afflerbach	150 1 4 1
affluent	1 17 5 107
afghan	559 4 7 5
aficionado	112 7 1 4
afinogenov	128 0 1 0
african	140 8 10 29
afridi	239 0 1 4
afternoon	1306 259 633 813
afternoons	179 6 4 9
ag	182 9 157 25
agarkar	304 0 0 2
agarwal	161 5 7 3
agassi	18321 3 107 171
aged	354 177 23 721
agee	136 35 3 2
agent	30908 1390 805 889
agents	1193 193 310 17313
ager	107 8 3 0
aggen	102 0 0 0
aggressor	366 3 17 13
aggressors	2 0 1 639
agha	479 5 1 19
aghajari	806 0 0 1
aghazadeh	103 0 3 0
agilus	247 0 0 0
agitators	2 0 1 149
aglipay	126 0 0 11
agnelli	573 0 13 2
agnes	36 122 8 13
agnew	236 46 3 1
aguilar	343 165 2 29
aguilera	139 445 11 1
aguirre	640 145 28 21
aguon	98 10 3 6
ahanotu	97 0 2 1
ahearn	84 123 3 6
ahenakew	208 0 0 1
ahern	2217 50 31 46
ahluwalia	173 25 6 3
ahmad	2550 66 35 33
ahmadi	106 1 0 1
ahmed	3849 218 26 87
ahmet	140 2 0 0
ahn	204 146 4 29
aho	93 18 14 4
ahrens	111 48 1 10
ahumada	356 3 0 0
aidan	110 5 1 4
aide	12526 880 153 232
aiden	179 6 2 4
aides	10529 443 596 9418
aiello	192 32 12 9
aiken	1799 89 31 15
aikens	135 3 4 3
aikman	246 7 3 0
aileen	0 100 0 0
ailment	93 17 90 9
ailments	37 7 20 59
ailton	259 0 2 8
aimee	2 179 1 1
